block	gene	fisher	d_c	d_nc	nd_c	nd_nc	pymc3	logit	susie	varbvs
block5	gene_43	1.0	1	1421	2	1662	0.036	0.128137	0.0	0.081017
block5	gene_44	1.0	1	1421	2	1662	0.043	0.128137	0.0	0.081017
block5	gene_45	1.0	1	1421	2	1662	0.03	0.128137	0.0	0.081018
block6	gene_46	0.460791	1	1421	0	1664	0.074	1.0	1.0	0.264092
block7	gene_47	1.0	0	1422	1	1663	0.028	0.25	0.0	0.136653
block7	gene_48	1.0	0	1422	1	1663	0.0325	0.25	0.0	0.136653
block7	gene_49	1.0	0	1422	1	1663	0.03	0.25	0.0	0.136652
block7	gene_50	1.0	0	1422	1	1663	0.0315	0.25	0.0	0.136652
block8	gene_51	0.460791	1	1421	0	1664	0.074	1.0	1.0	0.264092
block9	gene_52	0.097727	3	1419	0	1664	0.288	0.617127	0.479251	0.239923
block9	gene_53	0.502914	0	1422	2	1662	0.028	0.1126	0.281111	0.172217
block9	gene_54	0.460791	1	1421	0	1664	0.072	0.270273	0.239638	0.163977
block10	gene_55	1.0	0	1422	1	1663	0.038	1.0	0.0	0.257938
block11	gene_56	0.460791	1	1421	0	1664	0.081	1.0	1.0	0.264092
block12	gene_57	0.460791	1	1421	0	1664	0.065	0.356774	0.0	0.12518
block12	gene_58	0.460791	1	1421	0	1664	0.055	0.356774	0.0	0.12518
block12	gene_59	0.609756	18	1404	17	1647	0.4035	0.099411	0.0	0.051294
block12	gene_60	0.609756	18	1404	17	1647	0.4295	0.099411	0.0	0.051291
block12	gene_61	0.730182	17	1405	17	1647	0.1685	0.08763	0.0	0.048155
block13	gene_62	0.502914	0	1422	2	1662	0.0245	1.0	1.0	0.282207
block14	gene_63	0.460791	1	1421	0	1664	0.0765	1.0	1.0	0.264092
block15	gene_64	0.460791	1	1421	0	1664	0.0685	0.100544	0.106241	0.095553
block15	gene_65	0.460791	1	1421	0	1664	0.0605	0.100544	0.106241	0.095554
block15	gene_66	0.460791	1	1421	0	1664	0.0655	0.100544	0.106241	0.095554
block15	gene_67	0.212248	2	1420	0	1664	0.14	0.148096	0.128158	0.109257
block15	gene_68	0.212248	2	1420	0	1664	0.117	0.148096	0.128158	0.109258
block15	gene_69	0.460791	1	1421	0	1664	0.067	0.100544	0.106241	0.095312
block15	gene_70	0.460791	1	1421	0	1664	0.0625	0.100544	0.106241	0.095311
block15	gene_71	0.460791	1	1421	0	1664	0.0775	0.100544	0.106241	0.095311
block15	gene_72	0.460791	1	1421	0	1664	0.0665	0.100544	0.106241	0.095311
block16	gene_73	1.0	0	1422	1	1663	0.0385	0.5	0.0	0.190094
block16	gene_74	1.0	0	1422	1	1663	0.0375	0.5	0.0	0.190094
block17	gene_75	0.460791	1	1421	0	1664	0.0765	0.333333	0.333333	0.160784
block17	gene_76	0.460791	1	1421	0	1664	0.0625	0.333333	0.333333	0.160784
block17	gene_77	0.460791	1	1421	0	1664	0.069	0.333333	0.333333	0.160785
block18	gene_78	0.794148	7	1415	7	1657	0.197	1.0	0.0	0.148435
block19	gene_79	1.0	0	1422	1	1663	0.033	0.333333	0.0	0.156938
block19	gene_80	1.0	0	1422	1	1663	0.025	0.333333	0.0	0.156937
block19	gene_81	1.0	0	1422	1	1663	0.0355	0.333333	0.0	0.156937
block20	gene_82	0.590524	7	1415	6	1658	0.04	0.007065	0.01265	0.021884
block20	gene_83	1.0	0	1422	1	1663	0.0315	0.008194	0.014232	0.039314
block20	gene_84	0.502914	0	1422	2	1662	0.0255	0.006839	0.017166	0.041428
block20	gene_85	0.502914	0	1422	2	1662	0.0245	0.006839	0.017166	0.041428
block20	gene_86	0.502914	0	1422	2	1662	0.03	0.006839	0.017166	0.041428
block20	gene_87	0.502914	0	1422	2	1662	0.0325	0.006839	0.017166	0.041428
block20	gene_88	0.502914	0	1422	2	1662	0.028	0.006839	0.017166	0.041428
block20	gene_89	0.502914	0	1422	2	1662	0.025	0.006839	0.017166	0.041428
block20	gene_90	0.502914	0	1422	2	1662	0.026	0.006839	0.017166	0.041428
block20	gene_91	0.502914	0	1422	2	1662	0.032	0.006839	0.017166	0.041428
block20	gene_92	0.502914	0	1422	2	1662	0.037	0.006839	0.017166	0.041428
block20	gene_93	0.502914	0	1422	2	1662	0.031	0.006839	0.017166	0.041428
block20	gene_94	0.502914	0	1422	2	1662	0.023	0.006839	0.017166	0.041428
block20	gene_95	0.382268	1	1421	4	1660	0.029	0.005834	0.015935	0.037435
block20	gene_96	0.382268	1	1421	4	1660	0.031	0.005834	0.015935	0.037435
block20	gene_97	1.0	2	1420	3	1661	0.029	0.006488	0.011995	0.029113
block20	gene_98	0.187578	4	1418	1	1663	0.0495	0.026453	0.019616	0.03848
block20	gene_99	0.187578	4	1418	1	1663	0.051	0.026453	0.019616	0.03848
block20	gene_100	0.053547	6	1416	1	1663	0.1425	0.064069	0.03119	0.056471
block20	gene_101	0.662096	11	1411	10	1654	0.056	0.005682	0.012708	0.018011
block20	gene_102	0.154467	6	1416	2	1662	0.0855	0.030105	0.021323	0.037795
block20	gene_103	0.154467	6	1416	2	1662	0.081	0.030105	0.021323	0.037794
block20	gene_104	0.053547	6	1416	1	1663	0.1375	0.064069	0.03119	0.056464
block20	gene_105	0.154467	6	1416	2	1662	0.078	0.030105	0.021323	0.037077
block20	gene_106	0.154467	6	1416	2	1662	0.077	0.030105	0.021323	0.037076
block20	gene_107	0.154467	6	1416	2	1662	0.0715	0.030105	0.021323	0.037074
block20	gene_108	0.154467	6	1416	2	1662	0.0795	0.030105	0.021323	0.037073
block20	gene_109	0.154467	6	1416	2	1662	0.09	0.030105	0.021323	0.037071
block20	gene_110	0.244934	8	1414	4	1660	0.1555	0.019896	0.018513	0.03101
block20	gene_111	0.154467	6	1416	2	1662	0.0775	0.030105	0.021323	0.037068
block20	gene_112	0.154467	6	1416	2	1662	0.071	0.030105	0.021323	0.037067
block20	gene_113	0.154467	6	1416	2	1662	0.0665	0.030105	0.021323	0.037065
block20	gene_114	0.154467	6	1416	2	1662	0.0785	0.030105	0.021323	0.037064
block20	gene_115	0.259382	5	1417	2	1662	0.0505	0.020456	0.017562	0.032634
block20	gene_116	0.259382	5	1417	2	1662	0.0525	0.020456	0.017562	0.032634
block20	gene_117	0.259382	5	1417	2	1662	0.05	0.020456	0.017562	0.032633
block20	gene_118	0.259382	5	1417	2	1662	0.0515	0.020456	0.017562	0.032633
block20	gene_119	0.259382	5	1417	2	1662	0.06	0.020456	0.017562	0.032632
block20	gene_120	0.259382	5	1417	2	1662	0.053	0.020456	0.017562	0.032632
block20	gene_121	0.740703	5	1417	4	1660	0.023	0.00835	0.012676	0.024477
block20	gene_122	0.364497	7	1415	4	1660	0.054	0.014344	0.015931	0.02697
block20	gene_123	0.423557	4	1418	2	1662	0.0445	0.014447	0.014774	0.031098
block20	gene_124	0.460791	1	1421	0	1664	0.055	0.016414	0.015251	0.040606
block20	gene_125	0.460791	1	1421	0	1664	0.0445	0.016414	0.015251	0.040606
block20	gene_126	1.0	2	1420	2	1662	0.044	0.008429	0.011865	0.030305
block20	gene_127	1.0	2	1420	2	1662	0.043	0.008429	0.011865	0.030305
block20	gene_128	1.0	2	1420	2	1662	0.0525	0.008429	0.011865	0.030305
block20	gene_129	1.0	2	1420	2	1662	0.0425	0.008429	0.011865	0.030305
block20	gene_130	0.781576	6	1416	6	1658	0.104	0.005931	0.011995	0.022178
block20	gene_131	0.781576	6	1416	6	1658	0.0865	0.005931	0.011995	0.022178
block20	gene_132	0.482916	5	1417	3	1661	0.151	0.012232	0.014281	0.032008
block20	gene_133	0.482916	5	1417	3	1661	0.146	0.012232	0.014281	0.032008
block20	gene_134	0.597931	2	1420	1	1663	0.057	0.012816	0.013203	0.035145
block20	gene_135	0.597931	2	1420	1	1663	0.06	0.012816	0.013203	0.035145
block20	gene_136	0.597931	2	1420	1	1663	0.068	0.012816	0.013203	0.035145
block20	gene_137	1.0	1	1421	1	1663	0.04	0.009781	0.011833	0.03447
block20	gene_138	1.0	1	1421	1	1663	0.0445	0.009781	0.011833	0.03447
block20	gene_139	0.460791	1	1421	0	1664	0.062	0.016414	0.015251	0.041546
block20	gene_140	0.460791	1	1421	0	1664	0.061	0.016414	0.015251	0.041546
block21	gene_141	0.528008	6	1416	4	1660	0.166	0.205338	0.0	0.085791
block21	gene_142	0.528008	6	1416	4	1660	0.165	0.205338	0.0	0.085787
block21	gene_143	0.528008	6	1416	4	1660	0.182	0.205338	0.0	0.085784
block21	gene_144	0.528008	6	1416	4	1660	0.1665	0.205338	0.0	0.085781
block21	gene_145	0.710211	4	1418	3	1661	0.0805	0.178647	0.0	0.084984
block22	gene_146	1.0	1	1421	1	1663	0.0405	1.0	0.0	0.2254
block23	gene_147	0.460791	1	1421	0	1664	0.068	0.052632	0.052632	0.067983
block23	gene_148	0.460791	1	1421	0	1664	0.068	0.052632	0.052632	0.067983
block23	gene_149	0.460791	1	1421	0	1664	0.0455	0.052632	0.052632	0.067983
block23	gene_150	0.460791	1	1421	0	1664	0.063	0.052632	0.052632	0.067984
block23	gene_151	0.460791	1	1421	0	1664	0.0585	0.052632	0.052632	0.067984
block23	gene_152	0.460791	1	1421	0	1664	0.065	0.052632	0.052632	0.067984
block23	gene_153	0.460791	1	1421	0	1664	0.054	0.052632	0.052632	0.067984
block23	gene_154	0.460791	1	1421	0	1664	0.054	0.052632	0.052632	0.067984
block23	gene_155	0.460791	1	1421	0	1664	0.053	0.052632	0.052632	0.067985
block23	gene_156	0.460791	1	1421	0	1664	0.064	0.052632	0.052632	0.067985
block23	gene_157	0.460791	1	1421	0	1664	0.0535	0.052632	0.052632	0.067985
block23	gene_158	0.460791	1	1421	0	1664	0.068	0.052632	0.052632	0.067985
block23	gene_159	0.460791	1	1421	0	1664	0.067	0.052632	0.052632	0.067985
block23	gene_160	0.460791	1	1421	0	1664	0.0755	0.052632	0.052632	0.067985
block23	gene_161	0.460791	1	1421	0	1664	0.057	0.052632	0.052632	0.067986
block23	gene_162	0.460791	1	1421	0	1664	0.0595	0.052632	0.052632	0.067986
block23	gene_163	0.460791	1	1421	0	1664	0.0705	0.052632	0.052632	0.067986
block23	gene_164	0.460791	1	1421	0	1664	0.067	0.052632	0.052632	0.067986
block23	gene_165	0.460791	1	1421	0	1664	0.064	0.052632	0.052632	0.067985
block24	gene_166	0.460791	1	1421	0	1664	0.072	0.5	0.5	0.194803
block24	gene_167	0.460791	1	1421	0	1664	0.08	0.5	0.5	0.194803
block25	gene_168	0.460791	1	1421	0	1664	0.073	0.667028	0.500501	0.194736
block25	gene_169	1.0	0	1422	1	1663	0.0335	0.332972	0.499499	0.189972
block26	gene_170	1.0	0	1422	1	1663	0.038	1.0	0.0	0.257938
block27	gene_171	0.358005	3	1419	7	1657	0.021	0.153268	0.111185	0.096534
block27	gene_172	0.049074	9	1413	23	1641	0.0195	0.327251	0.344826	0.167766
block27	gene_173	0.049074	9	1413	23	1641	0.0175	0.327251	0.344826	0.167726
block27	gene_174	0.133552	9	1413	20	1644	0.021	0.192229	0.199162	0.094256
block28	gene_175	1.0	0	1422	1	1663	0.0305	1.0	0.0	0.257938
block29	gene_176	0.460791	1	1421	0	1664	0.08	1.0	1.0	0.264092
block30	gene_177	0.460791	1	1421	0	1664	0.066	1.0	1.0	0.264092
block31	gene_178	0.460791	1	1421	0	1664	0.082	0.5	0.5	0.194803
block31	gene_179	0.460791	1	1421	0	1664	0.0715	0.5	0.5	0.194803
block32	gene_180	1.0	0	1422	1	1663	0.0305	1.0	0.0	0.257938
block33	gene_181	1.0	1	1421	1	1663	0.0495	0.5	0.0	0.164168
block33	gene_182	1.0	1	1421	1	1663	0.056	0.5	0.0	0.164167
block34	gene_183	0.460791	1	1421	0	1664	0.08	0.5	0.5	0.194803
block34	gene_184	0.460791	1	1421	0	1664	0.062	0.5	0.5	0.194803
block35	gene_185	0.460791	1	1421	0	1664	0.073	1.0	1.0	0.264092
block36	gene_186	1.0	1	1421	1	1663	0.0405	1.0	0.0	0.2254
block37	gene_187	1.0	0	1422	1	1663	0.0335	0.043478	0.0	0.061553
block37	gene_188	1.0	0	1422	1	1663	0.03	0.043478	0.0	0.061553
block37	gene_189	1.0	0	1422	1	1663	0.033	0.043478	0.0	0.061553
block37	gene_190	1.0	0	1422	1	1663	0.0265	0.043478	0.0	0.061553
block37	gene_191	1.0	0	1422	1	1663	0.0385	0.043478	0.0	0.061552
block37	gene_192	1.0	0	1422	1	1663	0.035	0.043478	0.0	0.061552
block37	gene_193	1.0	0	1422	1	1663	0.0305	0.043478	0.0	0.061552
block37	gene_194	1.0	0	1422	1	1663	0.0275	0.043478	0.0	0.061552
block37	gene_195	1.0	0	1422	1	1663	0.028	0.043478	0.0	0.061551
block37	gene_196	1.0	0	1422	1	1663	0.036	0.043478	0.0	0.061551
block37	gene_197	1.0	0	1422	1	1663	0.032	0.043478	0.0	0.061551
block37	gene_198	1.0	0	1422	1	1663	0.0295	0.043478	0.0	0.061551
block37	gene_199	1.0	0	1422	1	1663	0.0295	0.043478	0.0	0.06155
block37	gene_200	1.0	0	1422	1	1663	0.032	0.043478	0.0	0.06155
block37	gene_201	1.0	0	1422	1	1663	0.0365	0.043478	0.0	0.06155
block37	gene_202	1.0	0	1422	1	1663	0.029	0.043478	0.0	0.06155
block37	gene_203	1.0	0	1422	1	1663	0.027	0.043478	0.0	0.06155
block37	gene_204	1.0	0	1422	1	1663	0.0335	0.043478	0.0	0.06155
block37	gene_205	1.0	0	1422	1	1663	0.028	0.043478	0.0	0.06155
block37	gene_206	1.0	0	1422	1	1663	0.0365	0.043478	0.0	0.06155
block37	gene_207	1.0	0	1422	1	1663	0.038	0.043478	0.0	0.06155
block37	gene_208	1.0	0	1422	1	1663	0.0385	0.043478	0.0	0.06155
block37	gene_209	1.0	0	1422	1	1663	0.04	0.043478	0.0	0.06155
block38	gene_210	0.382268	1	1421	4	1660	0.0255	0.091699	0.0	0.093763
block38	gene_211	1.0	4	1418	5	1659	0.0625	0.087395	0.0	0.056086
block38	gene_212	0.761012	4	1418	6	1658	0.039	0.07704	0.0	0.05649
block38	gene_213	1.0	5	1417	6	1658	0.0705	0.08227	0.0	0.052454
block38	gene_214	1.0	5	1417	6	1658	0.0745	0.08227	0.0	0.052454
block38	gene_215	1.0	3	1419	3	1661	0.067	0.118061	0.0	0.064022
block38	gene_216	1.0	1	1421	1	1663	0.05	0.153755	0.0	0.079957
block38	gene_217	1.0	1	1421	1	1663	0.046	0.153755	0.0	0.079957
block38	gene_218	1.0	1	1421	1	1663	0.0455	0.153755	0.0	0.079957
block39	gene_219	0.502914	0	1422	2	1662	0.0225	0.071699	0.08004	0.084892
block39	gene_220	0.502914	0	1422	2	1662	0.0345	0.071699	0.08004	0.084893
block39	gene_221	0.502914	0	1422	2	1662	0.0285	0.071699	0.08004	0.084894
block39	gene_222	0.502914	0	1422	2	1662	0.027	0.071699	0.08004	0.084895
block39	gene_223	0.502914	0	1422	2	1662	0.0375	0.071699	0.08004	0.084895
block39	gene_224	1.0	0	1422	1	1663	0.0335	0.085909	0.069509	0.078712
block39	gene_225	1.0	0	1422	1	1663	0.027	0.085909	0.069509	0.078712
block39	gene_226	1.0	0	1422	1	1663	0.0355	0.085909	0.069509	0.078712
block39	gene_227	1.0	0	1422	1	1663	0.0355	0.085909	0.069509	0.078712
block39	gene_228	0.502914	0	1422	2	1662	0.026	0.071699	0.08004	0.085602
block39	gene_229	1.0	0	1422	1	1663	0.0335	0.085909	0.069509	0.079656
block39	gene_230	0.25437	0	1422	3	1661	0.026	0.068564	0.092176	0.104591
block39	gene_231	0.502914	0	1422	2	1662	0.028	0.071699	0.08004	0.08809
block40	gene_232	1.0	0	1422	1	1663	0.0325	0.333333	0.0	0.156938
block40	gene_233	1.0	0	1422	1	1663	0.0395	0.333333	0.0	0.156937
block40	gene_234	1.0	0	1422	1	1663	0.0335	0.333333	0.0	0.156937
block41	gene_235	1.0	0	1422	1	1663	0.0275	0.333333	0.0	0.156938
block41	gene_236	1.0	0	1422	1	1663	0.029	0.333333	0.0	0.156937
block41	gene_237	1.0	0	1422	1	1663	0.03	0.333333	0.0	0.156937
block42	gene_238	1.0	0	1422	1	1663	0.0325	0.333333	0.0	0.156938
block42	gene_239	1.0	0	1422	1	1663	0.0395	0.333333	0.0	0.156937
block42	gene_240	1.0	0	1422	1	1663	0.0335	0.333333	0.0	0.156937
block43	gene_241	0.423557	4	1418	2	1662	0.212	1.0	1.0	0.235758
block44	gene_242	0.460791	1	1421	0	1664	0.0685	0.667028	0.500501	0.194736
block44	gene_243	1.0	0	1422	1	1663	0.0355	0.332972	0.499499	0.189972
block45	gene_244	1.0	1	1421	1	1663	0.0425	0.230759	0.0	0.13548
block45	gene_245	1.0	2	1420	2	1662	0.06	0.198851	0.0	0.120296
block45	gene_246	0.212248	2	1420	0	1664	0.1435	0.57039	0.0	0.187921
block46	gene_247	0.597931	2	1420	1	1663	0.1005	1.0	0.0	0.231404
block47	gene_248	0.212248	2	1420	0	1664	0.136	0.5	0.5	0.221418
block47	gene_249	0.212248	2	1420	0	1664	0.125	0.5	0.5	0.22142
block48	gene_250	0.666882	3	1419	2	1662	0.118	0.15221	0.0	0.088771
block48	gene_251	0.761012	4	1418	6	1658	0.049	0.069695	0.0	0.069361
block48	gene_252	0.212248	2	1420	0	1664	0.141	0.343817	0.0	0.136999
block48	gene_253	0.781576	6	1416	6	1658	0.1385	0.084335	0.0	0.063244
block48	gene_254	1.0	0	1422	1	1663	0.039	0.116521	0.0	0.112151
block48	gene_255	0.460791	1	1421	0	1664	0.0665	0.233422	0.0	0.1162
block49	gene_256	1.0	0	1422	1	1663	0.0305	1.0	0.0	0.257938
block50	gene_257	0.212248	2	1420	0	1664	0.1495	0.424119	0.384957	0.187328
block50	gene_258	0.460791	1	1421	0	1664	0.081	0.28794	0.307521	0.160745
block50	gene_259	0.460791	1	1421	0	1664	0.0595	0.28794	0.307521	0.160745
block51	gene_260	0.25437	0	1422	3	1661	0.028	1.0	1.0	0.32731
block52	gene_261	1.0	0	1422	1	1663	0.0355	0.275754	0.0	0.136356
block52	gene_262	1.0	0	1422	1	1663	0.0395	0.275754	0.0	0.136356
block52	gene_263	1.0	2	1420	3	1661	0.0465	0.218351	0.0	0.099778
block52	gene_264	0.502914	0	1422	2	1662	0.03	0.230141	0.0	0.149904
block53	gene_265	0.460791	1	1421	0	1664	0.078	1.0	1.0	0.264092
block54	gene_266	0.460791	1	1421	0	1664	0.078	1.0	1.0	0.264092
block55	gene_267	0.460791	1	1421	0	1664	0.0625	0.051755	0.0	0.056044
block55	gene_268	1.0	1	1421	1	1663	0.0345	0.030841	0.0	0.046833
block55	gene_269	1.0	1	1421	1	1663	0.0375	0.030841	0.0	0.046833
block55	gene_270	1.0	1	1421	1	1663	0.0455	0.030841	0.0	0.046833
block55	gene_271	1.0	1	1421	1	1663	0.0405	0.030841	0.0	0.046833
block55	gene_272	1.0	1	1421	1	1663	0.0505	0.030841	0.0	0.046833
block55	gene_273	1.0	1	1421	1	1663	0.037	0.030841	0.0	0.046833
block55	gene_274	0.460791	1	1421	0	1664	0.067	0.051755	0.0	0.056043
block55	gene_275	0.460791	1	1421	0	1664	0.0635	0.051755	0.0	0.056042
block55	gene_276	0.460791	1	1421	0	1664	0.0625	0.051755	0.0	0.056042
block55	gene_277	0.460791	1	1421	0	1664	0.063	0.051755	0.0	0.056042
block55	gene_278	1.0	1	1421	1	1663	0.0435	0.030841	0.0	0.046833
block55	gene_279	1.0	1	1421	1	1663	0.0365	0.030841	0.0	0.046833
block55	gene_280	1.0	1	1421	1	1663	0.0375	0.030841	0.0	0.046833
block55	gene_281	1.0	1	1421	1	1663	0.0425	0.030841	0.0	0.046833
block55	gene_282	1.0	1	1421	1	1663	0.041	0.030841	0.0	0.046833
block55	gene_283	1.0	1	1421	1	1663	0.044	0.030841	0.0	0.046833
block55	gene_284	1.0	1	1421	1	1663	0.04	0.030841	0.0	0.046833
block55	gene_285	1.0	1	1421	1	1663	0.04	0.030841	0.0	0.046833
block55	gene_286	1.0	1	1421	1	1663	0.042	0.030841	0.0	0.046833
block55	gene_287	1.0	1	1421	1	1663	0.0455	0.030841	0.0	0.046833
block55	gene_288	1.0	1	1421	1	1663	0.0425	0.030841	0.0	0.046833
block55	gene_289	1.0	1	1421	1	1663	0.0355	0.030841	0.0	0.046833
block55	gene_290	1.0	1	1421	1	1663	0.0455	0.030841	0.0	0.046833
block55	gene_291	1.0	1	1421	1	1663	0.036	0.030841	0.0	0.046833
block55	gene_292	0.732893	3	1419	5	1659	0.0385	0.016454	0.0	0.036308
block55	gene_293	1.0	4	1418	5	1659	0.056	0.01753	0.0	0.032476
block55	gene_294	0.666882	3	1419	2	1662	0.092	0.033749	0.0	0.042833
block55	gene_295	1.0	1	1421	1	1663	0.0575	0.030841	0.0	0.04654
block55	gene_296	1.0	0	1422	1	1663	0.0315	0.025836	0.0	0.054258
block56	gene_297	0.460791	1	1421	0	1664	0.0615	0.111111	0.111111	0.094945
block56	gene_298	0.460791	1	1421	0	1664	0.0695	0.111111	0.111111	0.094946
block56	gene_299	0.460791	1	1421	0	1664	0.0685	0.111111	0.111111	0.094946
block56	gene_300	0.460791	1	1421	0	1664	0.0675	0.111111	0.111111	0.094946
block56	gene_301	0.460791	1	1421	0	1664	0.0605	0.111111	0.111111	0.094947
block56	gene_302	0.460791	1	1421	0	1664	0.085	0.111111	0.111111	0.094946
block56	gene_303	0.460791	1	1421	0	1664	0.074	0.111111	0.111111	0.094946
block56	gene_304	0.460791	1	1421	0	1664	0.058	0.111111	0.111111	0.094946
block56	gene_305	0.460791	1	1421	0	1664	0.073	0.111111	0.111111	0.094946
block57	gene_306	0.460791	1	1421	0	1664	0.0605	0.0625	0.0625	0.073205
block57	gene_307	0.460791	1	1421	0	1664	0.068	0.0625	0.0625	0.073205
block57	gene_308	0.460791	1	1421	0	1664	0.06	0.0625	0.0625	0.073205
block57	gene_309	0.460791	1	1421	0	1664	0.07	0.0625	0.0625	0.073205
block57	gene_310	0.460791	1	1421	0	1664	0.0605	0.0625	0.0625	0.073206
block57	gene_311	0.460791	1	1421	0	1664	0.0615	0.0625	0.0625	0.073206
block57	gene_312	0.460791	1	1421	0	1664	0.067	0.0625	0.0625	0.073206
block57	gene_313	0.460791	1	1421	0	1664	0.0615	0.0625	0.0625	0.073206
block57	gene_314	0.460791	1	1421	0	1664	0.0695	0.0625	0.0625	0.073206
block57	gene_315	0.460791	1	1421	0	1664	0.064	0.0625	0.0625	0.073206
block57	gene_316	0.460791	1	1421	0	1664	0.063	0.0625	0.0625	0.073207
block57	gene_317	0.460791	1	1421	0	1664	0.0745	0.0625	0.0625	0.073207
block57	gene_318	0.460791	1	1421	0	1664	0.071	0.0625	0.0625	0.073207
block57	gene_319	0.460791	1	1421	0	1664	0.059	0.0625	0.0625	0.073207
block57	gene_320	0.460791	1	1421	0	1664	0.061	0.0625	0.0625	0.073207
block57	gene_321	0.460791	1	1421	0	1664	0.0635	0.0625	0.0625	0.073206
block58	gene_322	0.340361	3	1419	1	1663	0.071	0.328311	0.0	0.095759
block58	gene_323	0.687503	10	1412	14	1650	0.0235	0.063241	0.0	0.041973
block58	gene_324	0.643611	33	1389	44	1620	0.3805	0.040063	0.0	0.026911
block58	gene_325	0.643611	33	1389	44	1620	0.3025	0.040063	0.0	0.026911
block58	gene_326	0.560354	32	1390	43	1621	0.3085	0.040839	0.0	0.027604
block58	gene_327	0.761012	4	1418	6	1658	0.0255	0.089617	0.0	0.056423
block58	gene_328	0.761012	4	1418	6	1658	0.016	0.089617	0.0	0.056423
block58	gene_329	1.0	2	1420	2	1662	0.03	0.154124	0.0	0.070553
block58	gene_330	1.0	2	1420	2	1662	0.036	0.154124	0.0	0.070553
block59	gene_331	1.0	1	1421	1	1663	0.041	0.090909	0.0	0.073104
block59	gene_332	1.0	1	1421	1	1663	0.0495	0.090909	0.0	0.073104
block59	gene_333	1.0	1	1421	1	1663	0.0405	0.090909	0.0	0.073104
block59	gene_334	1.0	1	1421	1	1663	0.0525	0.090909	0.0	0.073104
block59	gene_335	1.0	1	1421	1	1663	0.055	0.090909	0.0	0.073104
block59	gene_336	1.0	1	1421	1	1663	0.045	0.090909	0.0	0.073104
